pmcid	unmapped_diseases
PMC10040779	['cardiac remodeling']
PMC10040838	['paclitaxel-induced neuropathic pain']
PMC10041525	['vancomycin-intermediate staphylococcus aureus infection']
PMC10041807	['solid tumors']
PMC10042075	['neuroendocrine prostate cancer']
PMC10042725	['neutrophilic asthma']
PMC10042772	['androgen receptor-positive breast cancer']
PMC10043291	['metabolic dysfunction']
PMC10043402	['pathological cardiac hypertrophy']
PMC10043579	['chronic hbv infection']
PMC10043781	['orthopaedic surgical site infections']
PMC10043946	['doxorubicin-cardiomyopathy']
PMC10044349	['periprosthetic joint infections']
PMC10044396	['solid tumors']
PMC10044702	['steatohepatosis']
PMC10044720	['skin aging']
PMC10044920	['myocardial fibrosis']
PMC10045023	['implant-associated osteomyelitis']
PMC10045038	['hematopoietic injury']
PMC10045081	['fragility fracture', 'bone metabolic diseases']
PMC10045137	['radiation nephropathy']
PMC10045162	['renal toxicity']
PMC10045479	['non-healing wounds']
PMC10045664	['diabetic hyperlipidemia']
PMC10045801	['inflammatory lung diseases']
PMC10045900	['t-cell lymphoblastic leukemia']
PMC10045901	['medication-related osteonecrosis of the jaw']
PMC10045977	['massive penetrating hemorrhage']
PMC10045980	['chronic brain ischemic injury']
PMC10046128	['abdominal sepsis']
PMC10046321	['aids-related non-hodgkin lymphoma']
PMC10046345	['cancer cachexia']
PMC10046369	['age-related cognitive decline', 'cognitive dysfunction in psychiatric disorders']
PMC10046470	['solid cancers']
PMC10046682	['fusion-negative rhabdomyosarcoma']
PMC10046692	['castration-resistant prostate cancer']
PMC10046841	['ebv-associated gastric carcinomas']
PMC10046860	['postoperative neurological deficits']
PMC10046966	['metastatic hormone-receptor-positive breast cancer']
PMC10047033	['cardiorenal syndrome type 3']
PMC10047048	['traumatic injury to the spinal cord']
PMC10047379	['vascular inflammation']
PMC10047381	['cantú syndrome']
PMC10047495	['l-dopa-induced dyskinesia']
PMC10047704	['inherited retinal diseases']
PMC10047938	['hereditary tyrosinemia type 1']
PMC10048589	['early-life seizures']
PMC10048941	['enterotoxaemia']
PMC10048947	['post-stroke depression']
PMC10049139	['sepsis-induced acute lung injury']
PMC10049157	['ischemia/reperfusion injury']
PMC10049543	['central post-stroke pain']
PMC10049714	['primary generalized tonic-clonic seizures']
PMC10050348	['head and neck tumor']
PMC10050741	['sepsis-induced acute kidney injury']
PMC10051147	['diabetic wound infection']
PMC10051524	['myocardial fibrosis']
PMC10051536	['pathological skin aging']
PMC10052003	['testicular degeneration']
PMC10052439	['nephrotoxicity']
PMC10053240	['wound healing']
PMC10053273	['myocardial ischaemia/reperfusion injury']
PMC10053514	['hiv']
PMC10054412	['ischemia/reperfusion injury']
PMC10054512	['sepsis-induced cognitive dysfunction']
PMC10054643	['cardiovascular adverse effects caused by high-intensity exercise']
PMC10054972	['covid-19 encephalitis']
PMC10055327	['multidrug-resistant gram-negative bacterial infections']
PMC10055328	['neurocognitive deficit']
PMC10055354	['solid tumors']
PMC10055378	['castration-resistant prostate cancer']
PMC10056333	['bone defects']
PMC10056485	['differentiated thyroid cancer']
PMC10056540	['large bone defects']
PMC10056844	['her2-positive breast cancer']
PMC10056859	['cognitive deficits', 'memory disturbances']
PMC10056879	['zika']
PMC10056898	['arrhythmias']
PMC10056986	['influenza a']
PMC10057209	['non-union fractures']
PMC10057426	['skin wound infection']
PMC10057834	['dengue hemorrhagic fever/dengue shock syndrome']
PMC10057842	['blood clotting']
PMC10058271	['drug-resistant breast cancer']
PMC10058346	['acute liver injury']
PMC10058495	['methicillin-resistant staphylococcus aureus infection']
PMC10058529	['progressive hereditary hearing loss']
PMC10058582	['neurotropic virus infection']
PMC10058822	['severe hearing impairments']
PMC10058949	['cholecystokinin-2 receptor-expressing cancers']
PMC10059783	['renal ischemia and reperfusion injury']
PMC10060292	['metastatic melanoma']
PMC10060329	['organ failure following major trauma']
PMC10061046	['tendon lesions']
PMC10061290	['metastatic colorectal cancer']
PMC10061447	['neointimal hyperplasia']
PMC10061746	['septic lung injury']
PMC10062175	['acute rejection']
PMC10062645	['chemotherapy-induced acute small intestinal mucositis']
PMC10063191	['chronic cardiac transplant rejection']
PMC10063899	['myocardial ischemia/reperfusion injury']
PMC10064070	['organophosphate nerve agent exposure']
PMC10064448	['peritoneal metastasis of colorectal cancer origin']
PMC10064869	['chemotherapy-induced peripheral neuropathy']
PMC10065922	['hiv-1']
PMC10067152	['liver metastasis tumor']
PMC10067397	['non-small?cell lung cancer']
PMC10067473	['skeletal muscle atrophy']
PMC10067479	['type 1 diabetes-related muscle atrophy']
PMC10067495	['muscle disuse atrophy']
PMC10067773	['retinal inflammatory diseases']
PMC10067881	['covid-19 disease']
PMC10068318	"[""primary sjogren's syndrome""]"
PMC10068413	['acinetobacter baumannii infection']
PMC10068424	['carbapenemase-producing klebsiella pneumoniae infection']
PMC10068445	['squamous non-small cell lung cancer']
PMC10068459	['metastatic cutaneous melanoma']
PMC10068472	['perioperative neurocognitive disorder']
PMC10068476	['chronic inflammatory hyperalgesia']
PMC10068757	['diabetic keratopathy']
PMC10068950	['irradiation-induced salivary gland damage']
PMC10069106	['mycobacterium avium-intracellulare pulmonary disease']
PMC10069167	['systemic peritonitis', 'local wound infections']
PMC10069437	['bacteria-associated infection']
PMC10069442	['inflammatory pain']
PMC10070002	['achilles tendon injury']
PMC10070106	['cholestatic liver disease']
PMC10070121	['metastatic breast cancer']
PMC10070388	['cancer cachexia']
PMC10071116	['precursor b-cell acute lymphoblastic leukemia']
PMC10073110	['attention-deficit hyperactivity disorder']
PMC10073190	['metabolic disorders']
PMC10073324	['idh-mutated cancers']
PMC10073420	['diabetic neuropathic pain']
PMC10074128	['breast cancer lung metastasis']
PMC10074130	['metastatic osteosarcoma']
PMC10074176	['ovarian reserve depletion']
PMC10074181	['myocardial ischemia-reperfusion injury']
PMC10075034	['diabetic peripheral arterial disease']
PMC10075247	['frontotemporal degeneration']
PMC10076859	['hpv+ oropharyngeal cancer']
PMC10076894	['cartilage defect']
PMC10077472	['bone metastases']
PMC10078127	['metastatic melanoma']
PMC10078807	['non-small cell lung cancers']
PMC10079225	['clostridioides difficile disease']
PMC10079514	['allergic airway inflammation']
PMC10079550	['chemotherapy-induced peripheral neuropathy']
PMC10079925	['ischemia-induced neuronal damage']
PMC10080291	['severe acute pancreatitis']
PMC10080320	['cln3 disease']
PMC10081990	['cadmium-induced nephrocardiac toxicity']
PMC10082498	['retinal ischemia-reperfusion injury']
PMC10082812	['affective psychiatric illnesses']
PMC10082825	['multiple tumors']
PMC10083571	['staphylococcus aureus bloodstream infection']
PMC10083863	['high-grade serous ovarian carcinoma']
PMC10083877	['gastric cancer peritoneal metastases']
PMC10084551	['levodopa-induced dyskinesia']
PMC10084595	['postoperative abdominal adhesions']
PMC10085005	['cerebral ischemia-reperfusion injury']
PMC10085605	['anger-out', 'anger-in']
PMC10085864	['clear cell ovarian carcinoma']
PMC10085980	['sciatic nerve injury']
PMC10086581	['cln1 disease']
PMC10086585	['advanced solid tumors']
PMC10087557	['diabetic erectile dysfunction']
PMC10087741	['non?small cell lung cancer']
PMC10088047	['hematopoietic acute radiation syndrome']
PMC10088116	['migraine pain']
PMC10088471	['acute ischaemic stroke']
PMC10088904	['chronic neuropathic pain']
PMC10088977	['influenza a']
PMC10090319	['major depression disorder']
PMC10090627	['parasitic meningitis']
PMC10090755	['fungal keratitis']
PMC10090886	['memory impairment']
PMC10091140	['st-segment elevation myocardial infarction']
PMC10091740	['hyperalgesia associated with alcohol withdrawal']
PMC10091872	['influenza a']
PMC10091874	['sepsis-induced acute kidney injury']
PMC10091936	['hypertensive diabetes']
PMC10092769	['basal-like breast cancer']
PMC10093137	['cutaneous squamous cell carcinoma']
PMC10093402	['hereditary cerebellar ataxias']
PMC10093412	['leptomeningeal disease']
PMC10093438	['castration-resistant prostate cancer']
PMC10093470	['hiv']
PMC10093558	['memory impairment']
PMC10093690	['primary intracranial ependymoma']
PMC10093942	['cisplatin-induced acute kidney injury']
PMC10094006	['multidrug-resistant cancer']
PMC10094146	['persistent s. aureus bacteremia infection']
PMC10094187	['fetal and neonatal alloimmune thrombocytopenia']
PMC10094233	['diabetes mellitus-periodontitis']
PMC10094377	['obesity-induced renal disease']
PMC10094379	['steatosis']
PMC10094415	['her2-positive breast cancer']
PMC10094431	['nlrp3-inflammasome-associated immune disorders']
PMC10094522	['cisplatin-induced renal toxicity']
PMC10094675	['skin wound healing']
PMC10094802	['skin and soft tissue infections']
PMC10094964	['atherosclerotic cardiovascular disease']
PMC10095058	['diabetic wounds']
PMC10095338	['traumatic neuroma']
PMC10095342	"[""b-cell non-hodgkin's lymphoma""]"
PMC10095483	['cardiac injury', 'renal injury']
PMC10095583	['gestational diseases']
PMC10095586	['inflammatory diseases']
PMC10095904	['cerebral ischemic stroke']
PMC10096127	['photodamage']
PMC10096324	['methicillin-resistant staphylococcus aureus infection']
PMC10096344	['pseudomonas aeruginosa-induced biofilm infection']
PMC10096386	['cancer metastasis']
PMC10096408	['acute peritonitis']
PMC10097461	['encephalopathy of prematurity']
PMC10097865	['solid tumors']
PMC10097948	['perinatal hypoxic brain injury']
PMC10098269	['breast cancers']
PMC10098290	['atherosclerotic cardiovascular disease']
PMC10099280	['metastatic non-small cell lung cancer']
PMC10099666	['hospital-acquired infections']
PMC10100133	['castration-resistant prostate cancer']
PMC10100175	['developmental delay']
PMC10100417	['traumatic haemorrhage']
PMC10100705	['infections caused by colistin-resistant gram-negative bacteria']
PMC10101059	['polymicrobial sepsis']
PMC10101109	['multidrug-resistant enterobacteriales infections']
PMC10101131	['infections caused by carbapenem-resistant acinetobacter baumannii']
PMC10101771	['staphylococcal bone infections']
PMC10102062	['working memory deficit']
PMC10102581	['cisplatin ototoxicity']
PMC10103717	['solid tumors', 'hematologic cancers']
PMC10103728	['anterior subcapsular cataract']
PMC10104254	['sars-cov2 infection']
PMC10104549	['methicillin-resistant staphylococcus aureus infections']
PMC10104670	['autoimmune inflammatory arthritides']
PMC10104825	['gram-negative infectious diseases']
PMC10104829	['renal interstitial fibrosis']
PMC10104896	['neurodegenerative diseases associated with tauopathy']
PMC10105369	['ventilator-induced diaphragmatic dysfunction']
PMC10105514	['acute kidney disease']
PMC10105677	['intestinal ischemia/reperfusion injury']
PMC10105967	['metastatic colorectal cancer']
PMC10106090	['myocardial ischemia/reperfusion injury']
PMC10106336	['brain toxicity']
PMC10106825	['paclitaxel-induced cognitive impairment']
PMC10106926	['non-tuberculous mycobacteriosis']
PMC10107242	['local anaesthetic intoxication']
PMC10108341	"[""menière's disease""]"
PMC10108455	['oxaliplatin-induced neuropathy']
PMC10108591	['interstitial cystitis/bladder pain syndrome']
PMC10110401	['inflammation-related diseases']
PMC10110468	['salt-sensitive hypertension']
PMC10110690	['small-cell lung cancer']
PMC10110878	['high-altitude pulmonary edema']
PMC10111204	['neonatal hypoxic-ischemic brain injury']
PMC10111428	['linear iga bullous disease']
PMC10111486	['severe hindlimb ischemia']
PMC10111505	['heart failure with preserved ejection fraction']
PMC10111656	['intestinal ischemia/reperfusion injury']
PMC10112548	['postnatal growth restriction', 'poor neurologic outcomes']
PMC10113151	['transplant rejection']
PMC10113213	['acute kidney disease']
PMC10113696	['atherosclerotic cardiovascular disease']
PMC10114105	['hepatic ischaemia/reperfusion injury']
PMC10115351	['hypokalaemic periodic paralysis']
PMC10115794	['diabetes-induced bone disease']
PMC10116028	['brain tumour']
PMC10116783	['hepatitis b virus-associated hepatocellular carcinoma']
PMC10116978	['vocal fold scarring']
PMC10117123	['pulmonary mycobacteroides abscessus disease']
PMC10117622	['recurrent urinary tract infections']
PMC10117725	['staphylococcus aureus bacteremia']
PMC10117943	['allergic diseases']
PMC10118090	['scar formation after filtration surgery']
PMC10118167	['ventricular arrhythmias']
PMC10119361	['sanfilippo disease']
PMC10119620	['cerebral ischemia-reperfusion injury']
PMC10119930	['depression associated with neuroinflammation']
PMC10120025	['kmt2a-rearranged leukemia']
PMC10120244	['chronic migraine']
PMC10120311	['neural degeneration diseases']
PMC10120726	['cryptococcal meningoencephalitis']
PMC10120854	['chronic inflammatory pain']
PMC10120896	['cerebral ischemia/reperfusion']
PMC10120905	['postmenopausal xerostomia']
PMC10121046	['chronic chagas cardiomyopathy']
PMC10121346	['second-degree burn']
PMC10121596	['chronic non healing wounds']
PMC10121884	['tet2-mutant clonal hematopoiesis']
PMC10122214	['inflammatory diseases']
PMC10122898	['cardiac arrest-induced neurological injury']
PMC10122996	['hypoxic pulmonary hypertension']
PMC10123272	['lethal endotoxemia']
PMC10123544	['opioid intoxication']
PMC10123865	['diabetic lung disease']
PMC10123898	['sleep deprivation-induced memory impairment']
PMC10123913	['spatial memory deficits']
PMC10124065	['methicillin-resistant staphylococcus aureus infections']
PMC10124099	['sars-cov-2']
PMC10124760	['trauma-associated hemorrhage and coagulopathy']
PMC10126781	['cancer cachexia']
PMC10127058	['b-cell malignancies']
PMC10127129	['bone defects']
PMC10127229	['neurogenic hypertension']
PMC10127280	['human african trypanosomiasis']
PMC10127337	['mit-translocation renal cell carcinoma']
PMC10127401	['septic acute kidney injury']
PMC10127954	['hyperoxia-induced brain injury']
PMC10128057	['chronic hepatitis e']
PMC10128156	['burn wound']
PMC10128990	['acinetobacter baumannii infections']
PMC10129034	['neonatal hypoxic-ischaemic encephalopathy']
PMC10129293	['esophageal burns']
PMC10129760	['bone defects', 'non-unions']
PMC10129857	['hand-foot-and-mouth disease']
PMC10130095	['adolescent idiopathic scoliosis']
PMC10130877	['aluminum phosphide poisoning']
PMC10130919	['high-grade serous ovarian carcinoma']
PMC10131272	['chronic chagasic cardiomyopathy']
PMC10131485	['chronic rhinosinusitis']
PMC10131840	['inflammatory pain']
PMC10132129	['male sexual dysfunction']
PMC10132162	['hiv/siv infection']
PMC10132320	['posterior capsule opacification']
PMC10132467	['lung tumor']
PMC10132811	['influenza a']
PMC10132983	['solid tumors']
PMC10133008	['hepatic ischemia/reperfusion injury']
PMC10133334	['early-onset macular degeneration']
PMC10134306	['small cell carcinoma of the uterine cervix']
PMC10134561	['septic myocardial injury']
PMC10134588	['ovarian aging']
PMC10134681	['castration-resistant prostate cancer']
PMC10135050	['hard-to-treat infectious diseases']
PMC10135058	['adult t cell leukemia/lymphoma']
PMC10135327	['vincristine-induced peripheral neuropathy']
PMC10135335	['neonatal infections', 'group b streptococcus vaginal colonization']
PMC10135383	['inflammatory diseases']
PMC10135487	['severe pneumonia']
PMC10135566	"[""sporadic alzheimer's disease""]"
PMC10135692	['steroid-associated osteonecrosis of the femoral head']
PMC10135779	['chronic wounds']
PMC10135813	['diabetes-induced neuropathic pain']
PMC10135983	['attention-deficit/hyperactivity disorder']
PMC10136031	['doxorubicin-induced liver injury']
PMC10136248	['torsade de pointes arrhythmias']
PMC10136285	['acute liver injury']
PMC10136575	['chemotherapy-induced nausea and vomiting']
PMC10136622	['metastatic prostate cancer']
PMC10136734	['delayed neurocognitive recovery']
PMC10136829	['skeletal muscle disuse-induced atrophy']
PMC10136875	['metastatic uveal melanoma']
PMC10136986	['cancer cachexia']
PMC10137040	['radiation-induced brain injury']
PMC10137255	['neuroendocrine tumours']
PMC10137281	['breast cancer bone metastasis']
PMC10138213	['castration-resistant prostate cancer']
PMC10138230	['seasonal influenza', 'pandemic influenza']
PMC10138352	['memory impairment']
PMC10138382	['infectious keratitis']
PMC10138567	['post-surgical scarring']
PMC10138655	"[""sporadic alzheimer's disease""]"
PMC10138674	['streptococcus suis infection']
PMC10138962	['streptococcal-toxic-shock-like syndrome']
PMC10139027	['ovarian aging']
PMC10140166	['pseudorabies virus infection']
PMC10140358	['methicillin-resistant staphylococcus aureus pneumonia']
PMC10140401	['organ injury following trauma and hemorrhagic shock']
PMC10140485	['ischemic brain injury']
PMC10140519	['hbv-induced liver injury', 'hbv-induced liver fibrosis']
PMC10140572	['trigeminal neuropathic pain']
PMC10140830	['steroid-induced osteonecrosis of the femoral head']
PMC10141348	['wet form of age-related macular degeneration']
PMC10141354	['topical ocular infections']
PMC10141498	['bone cancer pain']
PMC10141660	['solid tumors']
PMC10141704	['myocardial ischemia/reperfusion injury']
PMC10141765	['doxorubicin-induced cardiotoxicity']
PMC10141944	['chemotherapy-induced reproductive toxicity']
PMC10142654	['temporomandibular joint osteoarthritis']
PMC10142820	['limb spasticity']
PMC10143264	['cerebral ischemia/reperfusion injury']
PMC10143649	['cutaneous wounds']
PMC10143848	['herpes simplex virus type 1 infection']
PMC10144023	['ocular inflammation']
PMC10144326	['chagas disease cardiomyopathy']
PMC10144748	['malignant tumors']
PMC10144787	['castration-resistant prostate cancer', 'neuroendocrine prostate cancer']
PMC10144979	['metastatic castration-resistant prostate cancer']
PMC10145013	['human immunodeficiency virus']
PMC10145109	['inflammatory conditions']
PMC10145208	['post-covid-19 pulmonary fibrosis']
PMC10145360	['arterial thrombosis', 'pulmonary thrombosis']
PMC10146003	['human immunodeficiency virus']
PMC10146327	['suicidality', 'unipolar and bipolar depression', 'anxiety/depression']
PMC10146986	['prostate tumor']
PMC10147517	['chronic endometritis']
PMC10147829	['muscle injuries', 'muscle diseases']
PMC10148126	['hyperthyroid-induced cardiomyopathy']
PMC10148442	['cutaneous squamous cell carcinoma']
PMC10148517	['aicardi-goutières syndrome']
PMC10148679	['h3k27-altered diffuse midline glioma']
PMC10149098	['hepatic ischemia-reperfusion injury']
PMC10149148	['influenza a virus infection']
PMC10149391	['cardiac ischaemia/reperfusion injury']
PMC10149623	['ret-altered cancer']
PMC10150246	['primary central nervous system lymphoma', 'melanoma brain metastases']
PMC10150364	['inflammatory conditions']
PMC10150365	['refractory ovarian cancer', 'other malignancies']
PMC10150387	['spinal fusion']
PMC10150483	['opioid-induced itch', 'chronic itch']
PMC10150510	['sepsis-induced acute lung injury']
PMC10150703	['aspergillus fumigatus infection']
PMC10151160	['tissue fibrosis', 'gastrointestinal strictures']
PMC10151181	['nmdar encephalitis']
PMC10151261	['diet-induced obesity']
PMC10151327	['chronic liver injury']
PMC10151501	['multidrug-resistant bacterial infections']
PMC10151905	['fracture']
PMC10152589	['postoperative ileus']
PMC10152746	['antibody-mediated rejection']
PMC10153338	['cholangiopathies']
PMC10153511	['hypodiploid acute lymphoblastic leukemia']
PMC10154231	['autoinflammation with phospholipase c gamma 2-associated antibody deficiency and immune dysregulation']
PMC10154338	['ovarian granulosa cell tumors']
PMC10154555	['inflammatory pain']
PMC10154558	['her2+ metastatic breast cancer']
PMC10154878	['hepatitis b virus-associated hepatocellular carcinoma']
PMC10155261	['inflammatory pain', 'opioid-induced hyperalgesia']
PMC10155631	['type 2 diabetes-induced liver injury']
PMC10155637	['seasonal influenza']
PMC10156127	['bone metastatic castrate-resistant prostate cancer']
PMC10156558	['traumatic haemorrhagic shock']
PMC10156697	['cyclin-dependent kinase-like 5 deficiency disorder']
PMC10156775	['5-fu-induced cardiotoxicity']
PMC10157059	['bone defect']
PMC10157364	['solid tumors']
PMC10157366	['high-grade serous carcinoma']
PMC10157545	['septic cardiomyopathy']
PMC10157643	['thin endometrium']
PMC10157742	['differentiated thyroid carcinoma']
PMC10158089	['diffuse midline gliomas']
PMC10158632	['intracranial metastatic breast cancer']
PMC10158774	['small-cell lung cancer']
PMC10158851	['renal ischemia/reperfusion injury']
PMC10158986	['rhegmatogenous retinal detachment']
PMC10159618	['early-onset osteoporosis']
PMC10159742	['myocardial ischemia-reperfusion injury']
PMC10159859	['human immunodeficiency virus']
PMC10159924	['klebsiella pneumoniae infections']
PMC10160063	['refractory status epilepticus']
PMC10160221	['hyperglycaemia-induced osteoporosis']
PMC10160234	['cancer-induced bone pain']
PMC10160347	['gastrointestinal tumors', 'premalignant lesions']
PMC10160373	['iron overload cardiomyopathy']
PMC10160601	['diabetic wound healing']
PMC10160608	['b-cell non-hodgkin lymphoma']
PMC10160695	['liver ischemia/reperfusion injury', 'hepato-renal injury']
PMC10161250	['hiv']
PMC10161458	['myocardial ischemia-reperfusion injury']
PMC10161947	['nephrotoxicity']
PMC10163023	['chronic chikungunya virus-induced arthritis']
PMC10163137	['skin aging', 'skin pigmentation']
PMC10163467	['breast cancer brain metastases']
PMC10163595	['castration-resistant prostate cancer']
PMC10163677	['memory decline', 'neurodegeneration']
PMC10163745	['skin photoaging']
PMC10163781	['sepsis-induced cardiomyopathy']
PMC10164003	['post-resuscitation myocardial dysfunction']
PMC10164658	['pulmonary ntm infections']
PMC10164707	['chronic peripheral neuropathy']
PMC10164970	['sjögren syndrome']
PMC10165085	['myocardial injury']
PMC10165515	['nephrotoxicity']
PMC10165771	['cardiorenal syndrome type 4']
PMC10166712	['anti-neutrophil cytoplasmic antibody vasculitis']
PMC10167238	['peritendinous adhesion formation']
PMC10167888	['neurogenic bladder fibrosis', 'upper urinary tract damage']
PMC10168108	['metastatic breast cancer']
PMC10168548	['early repolarization syndromes']
