pmcid	unmapped_drugs
PMC10017100	['abdc2', '[177lu]lu-dota-abdc2', '[177lu]lu-dota-c2']
PMC10017155	['haee']
PMC10017326	['2-hydroxyethyl isothiouronium bromide', '2-aminoethyl isothiouronium bromide', '2-thio-2-aminoethyl isothiouronium bromide']
PMC10017418	['bay-1213790', 'bjtj-1837']
PMC10017675	['antagomir-493-3p']
PMC10017709	['lei-102']
PMC10017765	['c21']
PMC10017827	['c12tpp', 'skq1/kg']
PMC10017941	['2d10']
PMC10017950	['lnp-encapsulated hugt1a1 mrna', 'lnp-encapsulated gfp mrna', 'lnp-encapsulated hugt1a1 mrna (redesigned sequence)', 'lnp-encapsulated hugt1a1 mrna (original sequence)']
PMC10018069	['ad26.cov2.s.529']
PMC10018392	['vg2025', 'vg182', 'vg16x', 'vg2026']
PMC10018396	['crm197-o78 conjugate vaccine', 'pd-o78 conjugate vaccine', 'pd-o148 conjugate vaccine']
PMC10018483	['yishen huashi']
PMC10018591	['coh04s1', 'coh04s529', 'coh04s351']
PMC10018640	['deoxyribonuclease-i']
PMC10018702	['sr-a3']
PMC10018933	['ptx@poxmtp nps', 'ptx@peg-pcl', 'poxmtp nps']
PMC10019346	['glucagon-like peptide-1 receptor agonist']
PMC10019487	['whole plant extract']
PMC10019756	['car-t cells', 'double-target car-t cells', 'anti-pd-1 antibody', 'gpc3-car-t cells']
PMC10019795	['bamlanivimab (ly-cov555)', 's5/hel14']
PMC10020188	['asr-600']
PMC10020232	['brevinin-1ghd']
PMC10020352	['ka204', 'ka305', 'ka310', 'ka311']
PMC10020359	['hemoglobin-based oxygen carrier']
PMC10020409	['anti-ceacam1 monoclonal antibodies', 'radiotherapy']
PMC10020422	['venilon', 'glovenin']
PMC10020603	['vaccine b', 'vaccine a']
PMC10020681	['inducible pluripotent stem cell-derived small extracellular vesicles', 'phosphate buffer saline']
PMC10020795	['topotecan-loaded cmd-tcs-nps']
PMC10020940	['tfp5 peptide', 'pbs', 'scrambled peptide']
PMC10020992	['irak4i']
PMC10021025	['aav5/pd-l1', 'pbs', 'aav5/luc']
PMC10021052	['tetravalent ilvik', 'divalent ilvik', 'anti-pd-1 antibody', 'divalent peptide3a5']
PMC10021813	['dcm-[ptx/did]', 'radiation', 'pbs', 'dcm-[ptx]']
PMC10022054	['msc-derived evs', 'mscatv-ev-mir inhibitor', 'msc-ev-mir mimic', 'mscatv further augmented the therapeutic efficacy. moreover, evs derived from mscatv']
PMC10022752	['immune globulin intravenous', 'anthrasil']
PMC10023134	['unconjugated cdx-0125', 'cdx-0125-tei']
PMC10023320	['radiation therapy']
PMC10023341	['k6a?130']
PMC10023448	['liberase', 'liquogel']
PMC10023686	['5-aza']
PMC10023805	['dalbk']
PMC10024013	['se1/se2 mrna-lnp', 'se2f442nyt mrna-lnp', 'se1/se2f442nyt mrna-lnp', 'se1 mrna-lnp', 'se2 mrna-lnp']
PMC10024025	['nrt-act', 'anti-pd1', 't-act']
PMC10024194	['black phosphorus quantum dots (bpqds) encapsulated in rgd-modified exosomes (rgd-exo)', 'black phosphorus quantum dots', 'rgd-modified exosomes', 'exosomes']
PMC10024396	['anti-ctla-4 mabs', 'anti-pd-1 mabs']
PMC10024590	['c1 esterase inhibitor']
PMC10024910	['sn38) prodrug was rationally designed and then used to prepare nanoassemblies']
PMC10024911	['bif@pda-nps', 'paclitaxel nanoparticles', 'bif@pda-ptx-nps', 'ptx']
PMC10024949	['pan-ir700', 'nir light']
PMC10025009	['chadox2 cchf', 'mva cchf']
PMC10025029	['mef-12', 'mef-13', 'mef-22', 'tx-100', 'mef-16', 'mef-11', 'mef-21', 'mef-19', 'mef-20', 'mef-14', 'mef-17', 'mef-15', 'mef-24', 'mef-18', 'mef-23']
PMC10025096	['rx-375']
PMC10025347	['banzhilian formula']
PMC10025360	['alpha-1 antitrypsin']
PMC10025758	['coe2-2hexyl']
PMC10025964	['hascs-derived exosomal mir-155-5p', 'nc-exo']
PMC10026743	['pei-dox']
PMC10026753	['ptx@tpgs-pbte nps', 'rgd-ptx@tpgs-pbte nps']
PMC10026879	['exosomes']
PMC10026884	['oe-circ_0078607']
PMC10026892	['s-trimer', 'cpg/al(oh)3']
PMC10026912	['live hz vaccine', 'recombinant hz vaccine', 'chadox1-vzvge']
PMC10027478	['peg/ag/cnt-m hydrogel', 'tegaderm dressing', 'e hydrogel', 'peg/ag/cnt hydrogel', 'peg/ag/cnt-e hydrogel', 'peg/ag/cnt-m']
PMC10027510	['met@1cupda nps/hg', '1pda nps/hg']
PMC10027513	['humanized baff-r ab', 'humanized baff-r ab (h90-5)', 'chimeric baff-r ab', 'afucosylated humanized baff-r ab (h90-af)']
PMC10027514	['ot-loaded liposomes', 'ot-loaded macrophage-biomimetic liposomes were engineered as a versatile nanoantidote']
PMC10027647	['b12-8d3', 'adu-8d3']
PMC10027703	['recombinant rat platelet-derived growth factor bb', 'bone marrow mesenchymal stem cells']
PMC10027704	['mrx2843']
PMC10027707	['anti-pd-1 inhibitor']
PMC10027716	['ionizing radiation']
PMC10027881	['chinese red ginseng extract', 'g-rg3r', 'korean red ginseng b extract', 'korean red ginseng a extract', 'g-rg3s', 'korean red ginseng c extract']
PMC10027959	['3m-052-af', 'baiya sars-cov-2 vax 2']
PMC10028039	['kr12']
PMC10028113	['6?(7?nitro?2,1,3?benzoxadiazol?4?ylthio) hexanol']
PMC10028152	['let-7c-3p inhibitor', 'inhibitor nc']
PMC10028249	['cas13b mrna', 'crrna no. 2']
PMC10028478	['mda7', 'cannabis sativa leaf extract']
PMC10028769	['radiotherapy']
PMC10028834	['anti-cd47 antibody']
PMC10028969	['compound 4', 'compound 3']
PMC10029094	['ps 1', 'ps 3']
PMC10029295	['igk@senp', 'self-assemble into nanoparticles']
PMC10029786	['rbd-ccpe', 'riboxxim', 'riboxxim (bivalent sars-cov-2/influenza vaccine)', 'receptor binding domain']
PMC10030054	['atrvd1']
PMC10030575	['mutant vdpvr-fc', 'vdpvr-fc']
PMC10030616	['ccl22 protein', '?csf1r', '?il-6', 'pd-1 antibody']
PMC10030802	['ce6-pdt']
PMC10030891	['c5a']
PMC10031254	['compound 5f']
PMC10031259	['dplb', 'ltg@dplb', 'ltg@plb']
PMC10031269	['npfoxf1), empty minicircle vector', 'nanoparticles carrying minicircle plasmid expressing human foxf1 cdna', 'npempty), or rna']
PMC10031280	['nsf shrna lentiviral particles']
PMC10031343	['compound danshen dripping pill']
PMC10031366	['egfp mrna-encapsulated mvp', 'ova mrna-encapsulated mvp', 'vehicle alone']
PMC10031381	['kic-0096', 'kic-0101', 'kic-0099']
PMC10031668	['mbwt/mbmdx dec', 'non-fused mbwt and mscmdx cells', 'mbwt/mscmdx dec']
PMC10031904	['laser irradiation']
PMC10032225	['insulin']
PMC10032298	['3hpx']
PMC10032610	['(plga)based dsp-loaded nps', 'pla dsp-np']
PMC10032657	['cps6-igg1-wt', 'cps6-igg1-e345k']
PMC10033219	['drag-reducing polymers']
PMC10033289	['ad26.rsv.pref', 'responses. subunit vaccines based on pre-fusion conformation-stabilized rsv f protein']
PMC10033311	['hypoxia-hucmscs-derived exosomes', 'circoxnad1 knockdown']
PMC10033359	['cmpd10357']
PMC10033455	['emsmir?204', 'exosome mimetics']
PMC10033589	['poly ic', 'mit-t-covid vaccine', 'peptide', 'comirnaty®']
PMC10033607	['cd133']
PMC10033639	['anti-pd-l1', 'anti-pd-1']
PMC10033671	['5-aza-2-deoxycytidine (5azadc, decitabine)', 'sting agonist adu-s100']
PMC10033885	['ws-3']
PMC10033926	['5b2t']
PMC10033950	['cip-cu2+']
PMC10034035	['ch505 tf chtrimer', '3m-052-se', '3m-052-alum']
PMC10034069	['curcuma wenyujin']
PMC10034259	['rbd-pb np', 'cpg', 'pentagonal bipyramid', '3-mer rbd', 'pb-cpg', 'rbd-pb', 'alhydrogel®', 'rbd-pb-cpg']
PMC10034483	['lat9991f', 'lat7771', 'lat8881']
PMC10034508	['pg-bih hydrogel', 'pg-bih-ccm hydrogel', 'pg hydrogel', 'bih nanorods', 'pg-bih-ccm-sfn hydrogel']
PMC10034569	['sa-epg-bcs', 'pd-l1 antibody']
PMC10034621	['clostridium butyricum?pmtl007?glp?1']
PMC10034851	['anti-programmed cell death ligand 1 checkpoint blockade antibody']
PMC10035168	['nmlt', 'dmlt']
PMC10035370	['anti-pd-1', 'anti-ctla-4']
PMC10035388	['azd0466']
PMC10035405	['zl-1201']
PMC10035406	['?-pd-l1 antibodies', '11a-1']
PMC10035454	['ptp 9', 'anti-pd-1']
PMC10035505	['clodronate liposomes', 'recombinant mouse il9']
PMC10035507	['sstnigf1r']
PMC10035513	['ot-1', 'anti-thy1.1 igg2a', 'anti-thy1.1 ige', 'anti-thy1.1 igg2a-lala-pg', 'anti-thy1.1 igg1']
PMC10035515	['il13-? car t cells', 'il13-28bb? car t cells', 'il13-bb? car t cells', 'il13-28? car t cells']
PMC10035525	['cgamp encapsulated in sting-nps']
PMC10035534	['dahuang-taoren']
PMC10035596	['small extracellular vesicles']
PMC10035660	['fgf21ab', 'fibroblast growth factor 21']
PMC10035802	['control igg', 'anticorisin matb']
PMC10036103	['sodium borocaptate']
PMC10036199	['drag reducing polymers']
PMC10036429	['paptp']
PMC10036484	['il17 antibody', '23a12c3']
PMC10036536	['glav09', 'gla (agalsidase-beta, fabrazyme®)', 'glav05']
PMC10036562	['?pd-l1', 'diabzi-free b-lnp', 'free diabzi', 'radiation therapy', '?cd47', 'p-lnp encapsulated diabzi', 'b-lnp encapsulated diabzi']
PMC10036802	['jiashen prescription']
PMC10036913	['aav9-gfp+', 'aav9-rabggtb-gfp+']
PMC10037368	['trimeric cell surface spike protein we constructed a multimerized derivative of sb92']
PMC10037405	['mvvac2-atu(p)', 'mvvac2-n9(p)', 'optimem', 'mvvac2-h7(p)']
PMC10037509	['radiation therapy']
PMC10037624	['l-wt1 sirna']
PMC10037694	['radiation', 'cd40 mab']
PMC10037698	['antibodydrug conjugate', 'anti-her2-pcm@np', 'pcm) were then coated onto the plga core', 'anti-cd47', 'anti-cd47-pcm@np', 'adc-pcm@np', 'ptx']
PMC10037824	['suxiao jiuxin pill']
PMC10037834	['aav9-shrna-sting', 'pbs']
PMC10038060	['anti-cd70 antibody']
PMC10038307	['ab801-iscom', 'bcvax', 'cpg 1018', 'ab801']
PMC10038320	['o1821']
PMC10038737	['human umbilical cord-derived mesenchymal stem cell']
PMC10038742	['anti-pd-l1 therapy', 'cd8+ t cell depletion', 'cd4+ t cell depletion']
PMC10039045	['mcherry-cpp-tbp-tbp-caax']
PMC10039662	['zgi-aunps']
PMC10039664	['nanodiamond', 'polylactic acid-glycolic acid']
PMC10039759	['laser', 'aunrs@msn', 'd/b-pda-aunrs@msn']
PMC10039839	['degenerate odn', 'anti-hud aso', 'anti-hur aso']
PMC10039896	['p28-nps-fat', 'free fatostatin', 'nps-fat']
PMC10039936	['t-mil12-ires', 't-mfil12', 'recombinant murine il-12']
PMC10040010	['hsv1 leaderless-csf2', 'hsv1 us11-csf2']
PMC10040124	['baoshentongluo']
PMC10040171	['developed reactive oxygen species (ros)-responsive galactosylated nanoparticles']
PMC10040355	['spike ferritin nanoparticle']
PMC10040380	['350']
PMC10040381	['surfactant', 'recombinant igfbp2 protein']
PMC10040383	['admixed pbmcs', 'control gp120-v?2 bstce', 'mixed (1:1) human type 1 nkt/v?9v?2-t cells', 'cd1d-v?2 hu-bstce', 'cd1d-v?9 bstce', 'cd1d-v?2 bstce', 'control v?9 bstce']
PMC10040386	['anti-ox40 antibodies', 'anti-nk1.1 antibodies', 'cpg', 'anti-cd4 antibodies', 'anti-cd8 antibodies', 'anti-nkg2d antibodies', 'anti-cxcr3 antibodies', 'pdox', 'anti-pd-l1 antibodies']
PMC10040429	['egfl6 antibody #16', 'egfl6 ab#16', 'egfl6 antibody #9']
PMC10040430	['c24']
PMC10040455	['recombinant mouse il-22']
PMC10040537	['lacto']
PMC10040556	['zhongshen pill']
PMC10040578	['tripterygium glycoside tablet', 'p-a drug pair']
PMC10040673	['anti-cd61 antibody']
PMC10040779	['ginaton']
PMC10040838	['il-10 neutralizing antibody', 'boc1']
PMC10040904	['rmva-b', 'rmva-d', 'rmva-o', 'rmva-w']
PMC10040911	['mal c']
PMC10041385	['polyphenon 60']
PMC10041566	['np1']
PMC10041726	['hit 17']
PMC10041807	['anti-pd-l1', 'c215fab-sea', 'anti-pd-1']
PMC10041862	['ctrl-ab', 'mstn-ab', 'acta-ab']
PMC10042259	['pl-4', 'pl-2', 'pl-18', 'pl-8', 'pl-7', 'pl-13', 'pl-16', 'pl-12']
PMC10042260	['pbs', 'gnp-gp91', 'gp91']
PMC10042645	['relaxin-2']
PMC10042697	['scaav1.tmck.nt-3']
PMC10043169	['pvax', 'plasmid dna', 'plasmid-encoded adenosine deaminase-1']
PMC10043219	['arc@dpbnps']
PMC10043390	['compound 6a']
PMC10043579	['beamgen', 'cyclic guanosine monophosphateamp', 'recombinant hbsag', 'k3-spg']
PMC10043946	['aav9-traf2']
PMC10044396	['m1-polarized gfp-m', 'chimeric antigen receptor macrophage', 'm1-polarized car-m', 'gfp-m']
PMC10044724	['mr', 'cell lysate', 'mellitinrada32cpglysate']
PMC10044897	['11h-indeno [1,2-b]quinoxalin-11-one oxime']
PMC10044919	['swietnine']
PMC10045140	['human recombinant igf-1']
PMC10045301	['d3']
PMC10045324	['ad?1 small molecule', '?-asarone']
PMC10045338	['oxytetracycline derivative with 4-br-benzaldehyde', 'oxytetracycline derivative with benzaldehyde', 'oxytetracycline derivative with 2-no2-benzaldehyde']
PMC10045456	['tat-gstpi protein', 'gstpi protein']
PMC10045479	['pbs gel', 'no-releasing gel']
PMC10045517	['lipopolysaccharide']
PMC10045558	['crgd-mid-ac']
PMC10045664	['10-dhg']
PMC10045745	['epo-r76e']
PMC10045801	['lipopolysaccharide']
PMC10045851	['il-6-r ab']
PMC10045852	['nanocurcumin']
PMC10045977	['(paas)based bag', 'celox-a']
PMC10046128	['tnf-related apoptosis-inducing ligand']
PMC10046155	['ha-cd@dox & fc+-c18', 'ha-cd@dox & fc+-c18@cur']
PMC10046163	['metp nps']
PMC10046321	['ch128.1/igg1', 'hu128.1', 'igg1 control antibody']
PMC10046338	['botulinum toxin']
PMC10046342	['4', '3', '6', '1', '2', '5']
PMC10046369	['s-ce-123']
PMC10046451	['paxl×cd3?']
PMC10046630	['mir-153-3p agomir']
PMC10046674	['n(?)-propyl-l-arginine']
PMC10046676	['sanguisorbae radix']
PMC10046682	['ionizing radiation']
PMC10046692	['sbi-46']
PMC10046795	['ifn-? protein', 'limosilactobacillus reuteri-ifn-?']
PMC10046804	['programmed cell death ligand 1']
PMC10046830	['minocycline-loaded albumin nanoparticles', 'transferrin-conjugated minocycline-loaded albumin nanoparticles']
PMC10046860	['win55, 212-2']
PMC10046901	['js84', 'zr2002', 'js61']
PMC10047048	['mir133b/ago2']
PMC10047247	['radachlorin', 'photosensitizer, a 3-substituted methyl pyropheophorbide-a derivative', 'photofrin']
PMC10047303	['avb-500']
PMC10047337	['astragalus polysaccharide']
PMC10047648	['tcdna-ex51', 'phosphorodiamidate morpholino oligomer']
PMC10047683	['edk-87', 'edk-88']
PMC10047704	['u1 splice factors. ( a ) wild-type u1', 'u1.ad_u6.wt', 'u1.wt_u6.wt', 'u1.ad', 'u1.ad_u6.ad']
PMC10047834	['compound 9a']
PMC10047988	['paeonol-loaded liposomes in gels', 'paeonol-loaded liposomes', 'paeonol-loaded gels', 'dexamethasone acetate cream']
PMC10048094	['tofacitinib-loaded mu-chi-co-poly (maa) hydrogel microparticles']
PMC10048993	['pel24-199']
PMC10049013	['125kd evs', 'ctrl evs', 'pd45 ievs', 'pd15 ievs']
PMC10049105	['n-pr-4-s-cap', 'bone marrow-derived dendritic cells']
PMC10049166	['2-(4-nitro-3-hydroxy-2-oxoindolin-3-yl)acetonitrile', '2-(5-methoxy-3-hydroxy-2-oxoindolin-3-yl)acetonitrile', '2-(5-nitro-3-hydroxy-2-oxoindolin-3-yl)acetic acid', '2-(5-bromo-3-hydroxy-2-oxoindolin-3-yl)acetic acid', '2-(5-bromo-3-hydroxy-2-oxoindolin-3-yl)acetonitrile', '2-(3-hydroxy-2-oxoindolin-3-yl)acetonitrile', '2-(6-nitro-3-hydroxy-2-oxoindolin-3-yl)acetic acid', '2-(7-nitro-3-hydroxy-2-oxoindolin-3-yl)acetonitrile', '2-(5-methoxy-3-hydroxy-1-benzyl-2-oxoindolin-3-yl)acetonitrile', '2-(5-methoxy-3-hydroxy-2-oxoindolin-3-yl)acetic acid', '2-(4-nitro-3-hydroxy-2-oxoindolin-3-yl)acetic acid', '2-(3-hydroxy-2-oxoindolin-3-yl)acetic acid', '2-(7-nitro-3-hydroxy-2-oxoindolin-3-yl)acetic acid', '2-(6-nitro-3-hydroxy-2-oxoindolin-3-yl)acetonitrile', '2-(5-nitro-3-hydroxy-2-oxoindolin-3-yl)acetonitrile']
PMC10049348	['ligustrazine monohydrate']
PMC10049354	['bio203', 'pbn']
PMC10049487	['a8']
PMC10049508	['antimicrobial peptide derived from insulin-like growth factor-binding protein 5']
PMC10049716	['proanp3167']
PMC10049902	['isa 51-adjuvanted rbd-fc vaccine']
PMC10050083	['af-130']
PMC10050348	['?cd40']
PMC10050417	['wt-remab6) and an afucosylated-remab6']
PMC10051147	['antibiotic ointment']
PMC10051362	['pre-f+g vlps', 'pre-f vlps', 'g vlps', 'formalin-inactivated rsv']
PMC10051506	['dalbk']
PMC10051524	['gal-3 shrna/cmbs']
PMC10051536	['anti-apod primary antibody', 'pbd-binding secondary antibody']
PMC10051687	['(tnf)-?-stimulated gene 6']
PMC10051745	['anti-?4?7 integrin', 'anti-tnf?']
PMC10051918	['survivin peptide antigens']
PMC10051922	['h. leucospilota)-derived compound 3 isolated from ethyl acetate fraction']
PMC10051983	['aminodihydrophthalazinedione sodium']
PMC10052254	['?-amyrin']
PMC10052258	['dna vaccine']
PMC10052291	['trimeric full-length spike s', 'trimeric spike rbd', 'fc fragment fusion rbd', 'trimeric s1']
PMC10052645	['sctv01a vaccine', 'rbd-fc protein', 'sct-va02b adjuvant']
PMC10052660	['moutan jiangya formula']
PMC10052746	['risperidone-loaded lecithin-chitosan nanoparticles']
PMC10052882	['free drug-loaded gel', 'cf018 emulgel', 'cf018p emulgel']
PMC10053106	['mir-21-5p']
PMC10053240	['tat and hgh', 'this was achieved by conjugating hgh with the tat peptide']
PMC10053351	['bs-darpin9_29', 'plga-darpin9_29', 'plga-bn']
PMC10053586	['gaalie', 'cvi-igg4', 'cvi-igg1']
PMC10053788	['epera013m', 'epera013m) or a fusion protein']
PMC10053799	['luteolin 4?-neohesperidoside']
PMC10054149	['t22-pe24-h6']
PMC10054512	['maresin1']
PMC10054699	['polyf1', 'monof1', 'lcrv']
PMC10054729	['uk/pd-rgds complex']
PMC10054805	['insulin']
PMC10054972	['nb-110', 'nb-39', 'nb-104', 'nb-33', 'nb-43', 'nb-45']
PMC10055169	['synb1-elp-p50i']
PMC10055328	['manganese(iii) tetrakis(4-benzoic acid) porphyrin chloride']
PMC10055354	['thermal ablation', 'glucose nanoliposomes', 'ceramide nanoliposomes']
PMC10055366	['17?-e2']
PMC10055590	['parp inhibitor']
PMC10055618	['hdca:me-(2:1)-lips', 'hdca:me-(1:1)-lips', 'hdca:me-(0.5:1)-lips']
PMC10055716	['cpg 1018', 'recombinant np', 'addavax']
PMC10055764	['di-component conjugate qamuc1', 'poliovirus', 'saponintnmuc1 conjugate', 'saponin adjuvant 2', 'saponinpv conjugate qa(pv) 14', 'pv th epitope', 'muc1 peptide 8', 'tri-component conjugate qa(pv)muc1', 'tri-component conjugate qa(pv)tnmuc1', 'tnmuc1 antigen 9', 'pv103115 peptide (compound s8)']
PMC10055797	['doxorubicin-polymer complex', 'doxorubicin-polymer complex with nse']
PMC10055824	['midivi-1']
PMC10055831	['synthetic (+)-terrein']
PMC10056037	['travatan®']
